qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,anoDid,aptHaa,aptOwe,aptRow,0.02,0.04,0.94,100.0
2,anoDid,aptHaa,aptOwe,casCas,0.0,0.0,1.0,100.0
3,anoDid,aptHaa,aptRow,casCas,0.0,0.0,1.0,100.0
4,anoDid,aptOwe,aptRow,casCas,0.0,0.0,1.0,100.0
5,aptHaa,aptOwe,aptRow,casCas,0.94,0.04,0.02,100.0
6,anoDid,aptHaa,aptOwe,cryCin,0.0,0.0,1.0,100.0
7,anoDid,aptHaa,aptRow,cryCin,0.0,0.0,1.0,100.0
8,anoDid,aptOwe,aptRow,cryCin,0.0,0.0,1.0,100.0
9,aptHaa,aptOwe,aptRow,cryCin,0.94,0.04,0.02,100.0
10,anoDid,aptHaa,casCas,cryCin,0.01,0.01,0.98,100.0
11,anoDid,aptOwe,casCas,cryCin,0.01,0.01,0.98,100.0
12,aptHaa,aptOwe,casCas,cryCin,1.0,0.0,0.0,100.0
13,anoDid,aptRow,casCas,cryCin,0.01,0.01,0.98,100.0
14,aptHaa,aptRow,casCas,cryCin,1.0,0.0,0.0,100.0
15,aptOwe,aptRow,casCas,cryCin,1.0,0.0,0.0,100.0
16,anoDid,aptHaa,aptOwe,droNov,0.0,0.0,1.0,100.0
17,anoDid,aptHaa,aptRow,droNov,0.0,0.0,1.0,100.0
18,anoDid,aptOwe,aptRow,droNov,0.0,0.0,1.0,100.0
19,aptHaa,aptOwe,aptRow,droNov,0.94,0.04,0.02,100.0
20,anoDid,aptHaa,casCas,droNov,1.0,0.0,0.0,100.0
21,anoDid,aptOwe,casCas,droNov,1.0,0.0,0.0,100.0
22,aptHaa,aptOwe,casCas,droNov,1.0,0.0,0.0,100.0
23,anoDid,aptRow,casCas,droNov,1.0,0.0,0.0,100.0
24,aptHaa,aptRow,casCas,droNov,1.0,0.0,0.0,100.0
25,aptOwe,aptRow,casCas,droNov,1.0,0.0,0.0,100.0
26,anoDid,aptHaa,cryCin,droNov,0.01,0.98,0.01,100.0
27,anoDid,aptOwe,cryCin,droNov,0.01,0.98,0.01,100.0
28,aptHaa,aptOwe,cryCin,droNov,1.0,0.0,0.0,100.0
29,anoDid,aptRow,cryCin,droNov,0.01,0.98,0.01,100.0
30,aptHaa,aptRow,cryCin,droNov,1.0,0.0,0.0,100.0
31,aptOwe,aptRow,cryCin,droNov,1.0,0.0,0.0,100.0
32,anoDid,casCas,cryCin,droNov,0.0,1.0,0.0,100.0
33,aptHaa,casCas,cryCin,droNov,0.0,1.0,0.0,100.0
34,aptOwe,casCas,cryCin,droNov,0.0,1.0,0.0,100.0
35,aptRow,casCas,cryCin,droNov,0.0,1.0,0.0,100.0
36,anoDid,aptHaa,aptOwe,eudEle,0.0,0.0,1.0,100.0
37,anoDid,aptHaa,aptRow,eudEle,0.0,0.0,1.0,100.0
38,anoDid,aptOwe,aptRow,eudEle,0.0,0.0,1.0,100.0
39,aptHaa,aptOwe,aptRow,eudEle,0.94,0.04,0.02,100.0
40,anoDid,aptHaa,casCas,eudEle,0.01,0.01,0.98,100.0
41,anoDid,aptOwe,casCas,eudEle,0.01,0.01,0.98,100.0
42,aptHaa,aptOwe,casCas,eudEle,1.0,0.0,0.0,100.0
43,anoDid,aptRow,casCas,eudEle,0.01,0.01,0.98,100.0
44,aptHaa,aptRow,casCas,eudEle,1.0,0.0,0.0,100.0
45,aptOwe,aptRow,casCas,eudEle,1.0,0.0,0.0,100.0
46,anoDid,aptHaa,cryCin,eudEle,0.98,0.01,0.01,100.0
47,anoDid,aptOwe,cryCin,eudEle,0.98,0.01,0.01,100.0
48,aptHaa,aptOwe,cryCin,eudEle,1.0,0.0,0.0,100.0
49,anoDid,aptRow,cryCin,eudEle,0.98,0.01,0.01,100.0
50,aptHaa,aptRow,cryCin,eudEle,1.0,0.0,0.0,100.0
51,aptOwe,aptRow,cryCin,eudEle,1.0,0.0,0.0,100.0
52,anoDid,casCas,cryCin,eudEle,0.98,0.01,0.01,100.0
53,aptHaa,casCas,cryCin,eudEle,1.0,0.0,0.0,100.0
54,aptOwe,casCas,cryCin,eudEle,1.0,0.0,0.0,100.0
55,aptRow,casCas,cryCin,eudEle,1.0,0.0,0.0,100.0
56,anoDid,aptHaa,droNov,eudEle,0.01,0.01,0.98,100.0
57,anoDid,aptOwe,droNov,eudEle,0.01,0.01,0.98,100.0
58,aptHaa,aptOwe,droNov,eudEle,1.0,0.0,0.0,100.0
59,anoDid,aptRow,droNov,eudEle,0.01,0.01,0.98,100.0
60,aptHaa,aptRow,droNov,eudEle,1.0,0.0,0.0,100.0
61,aptOwe,aptRow,droNov,eudEle,1.0,0.0,0.0,100.0
62,anoDid,casCas,droNov,eudEle,0.0,0.0,1.0,100.0
63,aptHaa,casCas,droNov,eudEle,0.0,0.0,1.0,100.0
64,aptOwe,casCas,droNov,eudEle,0.0,0.0,1.0,100.0
65,aptRow,casCas,droNov,eudEle,0.0,0.0,1.0,100.0
66,anoDid,cryCin,droNov,eudEle,0.01,0.98,0.01,100.0
67,aptHaa,cryCin,droNov,eudEle,0.0,1.0,0.0,100.0
68,aptOwe,cryCin,droNov,eudEle,0.0,1.0,0.0,100.0
69,aptRow,cryCin,droNov,eudEle,0.0,1.0,0.0,100.0
70,casCas,cryCin,droNov,eudEle,0.0,1.0,0.0,100.0
71,anoDid,aptHaa,aptOwe,galGal,0.0,0.0,1.0,100.0
72,anoDid,aptHaa,aptRow,galGal,0.0,0.0,1.0,100.0
73,anoDid,aptOwe,aptRow,galGal,0.0,0.0,1.0,100.0
74,aptHaa,aptOwe,aptRow,galGal,0.94,0.04,0.02,100.0
75,anoDid,aptHaa,casCas,galGal,0.14,0.3,0.56,100.0
76,anoDid,aptOwe,casCas,galGal,0.14,0.3,0.56,100.0
77,aptHaa,aptOwe,casCas,galGal,1.0,0.0,0.0,100.0
78,anoDid,aptRow,casCas,galGal,0.14,0.3,0.56,100.0
79,aptHaa,aptRow,casCas,galGal,1.0,0.0,0.0,100.0
80,aptOwe,aptRow,casCas,galGal,1.0,0.0,0.0,100.0
81,anoDid,aptHaa,cryCin,galGal,0.01,0.99,0.0,100.0
82,anoDid,aptOwe,cryCin,galGal,0.01,0.99,0.0,100.0
83,aptHaa,aptOwe,cryCin,galGal,1.0,0.0,0.0,100.0
84,anoDid,aptRow,cryCin,galGal,0.01,0.99,0.0,100.0
85,aptHaa,aptRow,cryCin,galGal,1.0,0.0,0.0,100.0
86,aptOwe,aptRow,cryCin,galGal,1.0,0.0,0.0,100.0
87,anoDid,casCas,cryCin,galGal,0.01,0.98,0.01,100.0
88,aptHaa,casCas,cryCin,galGal,0.56,0.13,0.31,100.0
89,aptOwe,casCas,cryCin,galGal,0.56,0.13,0.31,100.0
90,aptRow,casCas,cryCin,galGal,0.56,0.13,0.31,100.0
91,anoDid,aptHaa,droNov,galGal,0.14,0.3,0.56,100.0
92,anoDid,aptOwe,droNov,galGal,0.14,0.3,0.56,100.0
93,aptHaa,aptOwe,droNov,galGal,1.0,0.0,0.0,100.0
94,anoDid,aptRow,droNov,galGal,0.14,0.3,0.56,100.0
95,aptHaa,aptRow,droNov,galGal,1.0,0.0,0.0,100.0
