qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,anoDid,aptHaa,aptOwe,aptRow,0.0213,0.0226,0.9561,10000.0
2,anoDid,aptHaa,aptOwe,casCas,0.0,0.0002,0.9998,10000.0
3,anoDid,aptHaa,aptRow,casCas,0.0005,0.0007,0.9988,10000.0
4,anoDid,aptOwe,aptRow,casCas,0.0006,0.0006,0.9988,10000.0
5,aptHaa,aptOwe,aptRow,casCas,0.9561,0.0226,0.0213,10000.0
6,anoDid,aptHaa,aptOwe,cryCin,0.0,0.0,1.0,10000.0
7,anoDid,aptHaa,aptRow,cryCin,0.0001,0.0001,0.9998,10000.0
8,anoDid,aptOwe,aptRow,cryCin,0.0001,0.0001,0.9998,10000.0
9,aptHaa,aptOwe,aptRow,cryCin,0.9561,0.0226,0.0213,10000.0
10,anoDid,aptHaa,casCas,cryCin,0.0112,0.0107,0.9781,10000.0
11,anoDid,aptOwe,casCas,cryCin,0.0112,0.0107,0.9781,10000.0
12,aptHaa,aptOwe,casCas,cryCin,0.9998,0.0002,0.0,10000.0
13,anoDid,aptRow,casCas,cryCin,0.0111,0.0107,0.9782,10000.0
14,aptHaa,aptRow,casCas,cryCin,0.9988,0.0008,0.0004,10000.0
15,aptOwe,aptRow,casCas,cryCin,0.9988,0.0007,0.0005,10000.0
16,anoDid,aptHaa,aptOwe,droNov,0.0,0.0002,0.9998,10000.0
17,anoDid,aptHaa,aptRow,droNov,0.0005,0.0007,0.9988,10000.0
18,anoDid,aptOwe,aptRow,droNov,0.0006,0.0006,0.9988,10000.0
19,aptHaa,aptOwe,aptRow,droNov,0.9561,0.0226,0.0213,10000.0
20,anoDid,aptHaa,casCas,droNov,0.9992,0.0003,0.0005,10000.0
21,anoDid,aptOwe,casCas,droNov,0.9992,0.0003,0.0005,10000.0
22,aptHaa,aptOwe,casCas,droNov,1.0,0.0,0.0,10000.0
23,anoDid,aptRow,casCas,droNov,0.9992,0.0003,0.0005,10000.0
24,aptHaa,aptRow,casCas,droNov,1.0,0.0,0.0,10000.0
25,aptOwe,aptRow,casCas,droNov,1.0,0.0,0.0,10000.0
26,anoDid,aptHaa,cryCin,droNov,0.0112,0.9781,0.0107,10000.0
27,anoDid,aptOwe,cryCin,droNov,0.0112,0.9781,0.0107,10000.0
28,aptHaa,aptOwe,cryCin,droNov,0.9998,0.0,0.0002,10000.0
29,anoDid,aptRow,cryCin,droNov,0.0111,0.9782,0.0107,10000.0
30,aptHaa,aptRow,cryCin,droNov,0.9988,0.0004,0.0008,10000.0
31,aptOwe,aptRow,cryCin,droNov,0.9988,0.0005,0.0007,10000.0
32,anoDid,casCas,cryCin,droNov,0.0,1.0,0.0,10000.0
33,aptHaa,casCas,cryCin,droNov,0.0005,0.9992,0.0003,10000.0
34,aptOwe,casCas,cryCin,droNov,0.0005,0.9992,0.0003,10000.0
35,aptRow,casCas,cryCin,droNov,0.0005,0.9992,0.0003,10000.0
36,anoDid,aptHaa,aptOwe,eudEle,0.0,0.0,1.0,10000.0
37,anoDid,aptHaa,aptRow,eudEle,0.0001,0.0001,0.9998,10000.0
38,anoDid,aptOwe,aptRow,eudEle,0.0001,0.0001,0.9998,10000.0
39,aptHaa,aptOwe,aptRow,eudEle,0.9561,0.0226,0.0213,10000.0
40,anoDid,aptHaa,casCas,eudEle,0.0109,0.0107,0.9784,10000.0
41,anoDid,aptOwe,casCas,eudEle,0.0109,0.0107,0.9784,10000.0
42,aptHaa,aptOwe,casCas,eudEle,0.9998,0.0002,0.0,10000.0
43,anoDid,aptRow,casCas,eudEle,0.0108,0.0107,0.9785,10000.0
44,aptHaa,aptRow,casCas,eudEle,0.9988,0.0008,0.0004,10000.0
45,aptOwe,aptRow,casCas,eudEle,0.9988,0.0007,0.0005,10000.0
46,anoDid,aptHaa,cryCin,eudEle,0.9877,0.0055,0.0068,10000.0
47,anoDid,aptOwe,cryCin,eudEle,0.9877,0.0055,0.0068,10000.0
48,aptHaa,aptOwe,cryCin,eudEle,1.0,0.0,0.0,10000.0
49,anoDid,aptRow,cryCin,eudEle,0.9877,0.0055,0.0068,10000.0
50,aptHaa,aptRow,cryCin,eudEle,1.0,0.0,0.0,10000.0
51,aptOwe,aptRow,cryCin,eudEle,1.0,0.0,0.0,10000.0
52,anoDid,casCas,cryCin,eudEle,0.9877,0.0055,0.0068,10000.0
53,aptHaa,casCas,cryCin,eudEle,0.9997,0.0,0.0003,10000.0
54,aptOwe,casCas,cryCin,eudEle,0.9997,0.0,0.0003,10000.0
55,aptRow,casCas,cryCin,eudEle,0.9997,0.0,0.0003,10000.0
56,anoDid,aptHaa,droNov,eudEle,0.0109,0.0107,0.9784,10000.0
57,anoDid,aptOwe,droNov,eudEle,0.0109,0.0107,0.9784,10000.0
58,aptHaa,aptOwe,droNov,eudEle,0.9998,0.0002,0.0,10000.0
59,anoDid,aptRow,droNov,eudEle,0.0108,0.0107,0.9785,10000.0
60,aptHaa,aptRow,droNov,eudEle,0.9988,0.0008,0.0004,10000.0
61,aptOwe,aptRow,droNov,eudEle,0.9988,0.0007,0.0005,10000.0
62,anoDid,casCas,droNov,eudEle,0.0,0.0,1.0,10000.0
63,aptHaa,casCas,droNov,eudEle,0.0005,0.0003,0.9992,10000.0
64,aptOwe,casCas,droNov,eudEle,0.0005,0.0003,0.9992,10000.0
65,aptRow,casCas,droNov,eudEle,0.0005,0.0003,0.9992,10000.0
66,anoDid,cryCin,droNov,eudEle,0.0055,0.9877,0.0068,10000.0
67,aptHaa,cryCin,droNov,eudEle,0.0,0.9997,0.0003,10000.0
68,aptOwe,cryCin,droNov,eudEle,0.0,0.9997,0.0003,10000.0
69,aptRow,cryCin,droNov,eudEle,0.0,0.9997,0.0003,10000.0
70,casCas,cryCin,droNov,eudEle,0.0,1.0,0.0,10000.0
71,anoDid,aptHaa,aptOwe,galGal,0.0,0.0,1.0,10000.0
72,anoDid,aptHaa,aptRow,galGal,0.0003,0.0003,0.9994,10000.0
73,anoDid,aptOwe,aptRow,galGal,0.0003,0.0003,0.9994,10000.0
74,aptHaa,aptOwe,aptRow,galGal,0.9561,0.0226,0.0213,10000.0
75,anoDid,aptHaa,casCas,galGal,0.191,0.1884,0.6206,10000.0
76,anoDid,aptOwe,casCas,galGal,0.191,0.1884,0.6206,10000.0
77,aptHaa,aptOwe,casCas,galGal,0.9998,0.0002,0.0,10000.0
78,anoDid,aptRow,casCas,galGal,0.1911,0.1882,0.6207,10000.0
79,aptHaa,aptRow,casCas,galGal,0.9987,0.0009,0.0004,10000.0
80,aptOwe,aptRow,casCas,galGal,0.9987,0.0008,0.0005,10000.0
81,anoDid,aptHaa,cryCin,galGal,0.022,0.9591,0.0189,10000.0
82,anoDid,aptOwe,cryCin,galGal,0.022,0.9591,0.0189,10000.0
83,aptHaa,aptOwe,cryCin,galGal,1.0,0.0,0.0,10000.0
84,anoDid,aptRow,cryCin,galGal,0.022,0.9591,0.0189,10000.0
85,aptHaa,aptRow,cryCin,galGal,0.9994,0.0003,0.0003,10000.0
86,aptOwe,aptRow,cryCin,galGal,0.9994,0.0003,0.0003,10000.0
87,anoDid,casCas,cryCin,galGal,0.0202,0.9591,0.0207,10000.0
88,aptHaa,casCas,cryCin,galGal,0.6211,0.1893,0.1896,10000.0
89,aptOwe,casCas,cryCin,galGal,0.6211,0.1893,0.1896,10000.0
90,aptRow,casCas,cryCin,galGal,0.6212,0.1893,0.1895,10000.0
91,anoDid,aptHaa,droNov,galGal,0.191,0.1883,0.6207,10000.0
92,anoDid,aptOwe,droNov,galGal,0.191,0.1883,0.6207,10000.0
93,aptHaa,aptOwe,droNov,galGal,0.9998,0.0002,0.0,10000.0
94,anoDid,aptRow,droNov,galGal,0.1911,0.1881,0.6208,10000.0
95,aptHaa,aptRow,droNov,galGal,0.9987,0.0009,0.0004,10000.0
96,aptOwe,aptRow,droNov,galGal,0.9987,0.0008,0.0005,10000.0
97,anoDid,casCas,droNov,galGal,0.0003,0.0002,0.9995,10000.0
