TYPE,GENE,NTAX,ALEN,NPIP,NTAX_nogallus,ALEN_nogallus,NPIP_nogallus
introns,cds10010_intron1,14,7221,1722,13,7221,1548
introns,cds10016_intron3,14,6412,1396,13,6412,1302
introns,cds10019_intron3,14,3300,618,13,3300,590
introns,cds10020_intron5,15,1034,383,14,1034,335
introns,cds10030_intron2,14,3335,867,13,3335,808
introns,cds10031_intron2,14,1719,577,13,1719,564
introns,cds10034_intron3,15,445,166,14,445,149
introns,cds1003_intron1,15,703,139,14,703,122
introns,cds10047_intron3,15,8657,1632,14,8657,1433
introns,cds1005_intron1,15,2786,528,14,2786,475
introns,cds10071_intron5,15,1267,278,14,1267,247
introns,cds10087_intron3,14,4079,1072,13,4079,1000
introns,cds10090_intron1,14,12500,2598,13,12500,2330
introns,cds10093_intron7,14,5208,1248,13,5208,1095
introns,cds10097_intron3,14,13215,3183,13,13215,2950
introns,cds10105_intron2,14,4215,954,13,4215,840
introns,cds10108_intron1,15,4476,1006,14,4476,919
introns,cds10111_intron21,15,3638,931,14,3638,863
introns,cds10112_intron5,14,675,197,13,675,178
introns,cds10115_intron1,15,4945,1272,14,4945,1169
introns,cds10117_intron2,14,10768,2496,13,10768,2181
introns,cds10123_intron6,15,2705,796,14,2705,734
introns,cds10128_intron2,15,642,193,14,642,171
introns,cds10132_intron6,14,39334,7346,13,39334,6642
introns,cds10139_intron1,14,20261,5800,13,20261,5264
introns,cds10140_intron6,15,1408,291,14,1408,252
introns,cds10142_intron3,14,2441,710,13,2441,644
introns,cds1014_intron1,15,2515,379,14,2515,356
introns,cds10153_intron3,14,14411,3010,13,14411,2663
introns,cds10155_intron1,15,8766,1992,14,8766,1782
introns,cds10156_intron8,14,3704,955,13,3704,839
introns,cds10166_intron1,15,27729,5943,14,27729,5293
introns,cds1016_intron1,14,3569,824,13,3569,710
introns,cds10176_intron1,15,4035,950,14,4035,876
introns,cds10184_intron2,15,2220,489,14,2220,435
introns,cds10185_intron2,15,4569,982,14,4569,872
introns,cds10201_intron2,14,13263,2579,13,13263,2350
introns,cds10204_intron5,15,580,135,14,580,119
introns,cds1020_intron13,15,1432,381,14,1432,350
introns,cds10215_intron2,15,1105,247,14,1105,213
introns,cds10218_intron4,15,876,264,14,876,242
introns,cds10225_intron3,15,1038,210,14,1038,193
introns,cds10228_intron13,14,9618,2342,13,9618,2153
introns,cds10231_intron2,15,6149,899,14,6149,744
introns,cds10239_intron9,15,3824,799,14,3824,711
introns,cds1023_intron1,14,2239,413,13,2239,350
