TYPE,GENE,NTAX,ALEN,NPIP,NTAX_nogallus,ALEN_nogallus,NPIP_nogallus
UCEs,chr10_1344_s,15,2835,471,14,2835,440
UCEs,chr10_1369_s,14,2756,714,13,2756,685
UCEs,chr10_1391_s,15,2430,522,14,2430,481
UCEs,chr10_1394_s,15,2277,128,14,2277,124
UCEs,chr10_1407_s,14,3257,717,13,3257,655
UCEs,chr10_1422_s,15,2576,513,14,2576,473
UCEs,chr10_1432_s,15,2365,469,14,2365,411
UCEs,chr10_1434_s,14,2816,499,13,2816,437
UCEs,chr10_1441_s,13,2462,226,12,2462,224
UCEs,chr10_1444_s,15,1652,212,14,1652,205
UCEs,chr10_1445_s,14,2950,480,13,2950,442
UCEs,chr10_1461_s,15,2694,255,14,2694,231
UCEs,chr10_1476_s,14,2459,580,13,2459,553
UCEs,chr10_1479_s,14,2539,524,13,2539,478
UCEs,chr10_1483_s,14,2408,580,13,2408,546
UCEs,chr10_1490_s,15,2523,374,14,2523,344
UCEs,chr10_1505_s,14,2486,425,13,2486,424
UCEs,chr10_1536_s,14,2709,550,13,2709,510
UCEs,chr10_1537_s,15,3502,407,14,3502,354
UCEs,chr10_1539_s,14,2281,295,13,2281,261
UCEs,chr10_1550_s,15,3211,346,14,3211,341
UCEs,chr10_1553_s,14,2213,200,13,2213,189
UCEs,chr10_1567_s,15,2898,632,14,2898,571
UCEs,chr10_1570_s,15,3655,439,14,3655,395
UCEs,chr10_1580_s,15,2318,294,14,2318,264
UCEs,chr10_1594_s,15,2386,319,14,2386,290
UCEs,chr10_1596_s,14,2692,472,13,2692,438
UCEs,chr10_1599_s,15,2772,503,14,2772,456
UCEs,chr10_1601_s,15,3614,422,14,3614,373
UCEs,chr10_1602_s,15,2234,285,14,2234,278
UCEs,chr10_1610_s,15,2896,481,14,2896,403
UCEs,chr10_1621_s,14,2300,255,13,2300,230
UCEs,chr10_1627_s,15,2304,291,14,2304,260
UCEs,chr10_1630_s,15,2230,222,14,2230,216
UCEs,chr10_1637_s,15,2348,196,14,2348,184
UCEs,chr10_1638_s,14,2760,338,13,2760,313
UCEs,chr10_1644_s,15,2270,352,14,2270,334
UCEs,chr10_1647_s,14,2260,262,13,2260,242
UCEs,chr10_1658_s,13,3362,585,12,3362,559
UCEs,chr10_1664_s,14,2267,239,13,2267,218
UCEs,chr10_1667_s,14,2419,291,13,2419,256
UCEs,chr10_1679_s,14,2478,365,13,2478,330
UCEs,chr10_1682_s,15,2465,353,14,2465,320
UCEs,chr10_1711_s,15,2434,160,14,2434,154
UCEs,chr10_1726_s,15,2616,549,14,2616,497
UCEs,chr10_1729_s,14,2312,163,13,2312,159
UCEs,chr10_1749_s,14,2823,180,13,2823,176
UCEs,chr10_1754_s,15,2436,398,14,2436,372
UCEs,chr10_1812_s,15,2417,468,14,2417,431
UCEs,chr10_1817_s,15,3152,578,14,3152,544
UCEs,chr10_1820_s,15,2638,385,14,2638,337
UCEs,chr10_1825_s,15,2475,371,14,2475,321
UCEs,chr10_1831_s,15,2532,471,14,2532,409
UCEs,chr10_1839_s,14,3643,475,13,3643,436
UCEs,chr10_1844_s,15,2642,510,14,2642,478
UCEs,chr10_1884_s,15,2851,549,14,2851,518
UCEs,chr10_1886_s,14,2351,382,13,2351,354
UCEs,chr10_1887_s,15,2639,407,14,2639,378
UCEs,chr10_1895_s,13,2338,230,12,2338,230
UCEs,chr10_1898_s,14,2405,421,13,2405,382
UCEs,chr10_1901_s,15,2330,352,14,2330,317
UCEs,chr10_1903_s,13,2505,558,12,2505,506
UCEs,chr10_1907_s,15,2303,254,14,2303,253
UCEs,chr10_1908_s,15,2273,239,14,2273,217
UCEs,chr10_1911_s,15,2311,453,14,2311,429
UCEs,chr10_1913_s,15,2069,242,14,2069,238
UCEs,chr10_1923_s,15,2199,216,14,2199,199
UCEs,chr10_1925_s,14,2426,354,13,2426,332
UCEs,chr10_1929_s,15,5156,424,14,5156,400
UCEs,chr10_1930_s,15,3856,869,14,3856,820
UCEs,chr10_1949_s,14,2263,326,13,2263,299
UCEs,chr10_1953_s,15,2545,443,14,2545,403
UCEs,chr10_1955_s,14,3978,427,13,3978,373
UCEs,chr10_1956_s,15,2270,296,14,2270,271
UCEs,chr10_1961_s,15,2337,440,14,2337,390
UCEs,chr10_1962_s,15,3028,422,14,3028,414
UCEs,chr10_1969_s,14,2229,185,13,2229,150
UCEs,chr10_1973_s,13,3842,528,12,3842,427
UCEs,chr10_1976_s,14,2546,266,13,2546,264
UCEs,chr10_1980_s,15,2459,480,14,2459,412
UCEs,chr10_1987_s,14,3708,681,13,3708,670
UCEs,chr10_1998_s,15,2469,531,14,2469,483
UCEs,chr10_2009_s,14,3331,561,13,3331,513
UCEs,chr10_2013_s,13,3508,779,12,3508,732
UCEs,chr10_2027_s,13,3480,339,12,3480,333
UCEs,chr10_2028_s,14,2426,493,13,2426,443
UCEs,chr10_2029_s,14,3169,564,13,3169,538
UCEs,chr10_2038_s,14,2247,292,13,2247,278
UCEs,chr10_2044_s,14,2812,672,13,2812,670
UCEs,chr10_2049_s,15,2557,484,14,2557,459
UCEs,chr10_2052_s,15,2418,288,14,2418,257
UCEs,chr10_2054_s,14,4522,578,13,4522,534
UCEs,chr10_2055_s,14,2517,224,13,2517,215
UCEs,chr10_2063_s,14,3293,908,13,3293,851
UCEs,chr10_2065_s,14,3362,692,13,3362,673
UCEs,chr10_2067_s,15,3130,1005,14,3130,958
UCEs,chr10_2070_s,15,2352,287,14,2352,277
UCEs,chr10_2076_s,14,4731,1449,13,4731,1391
UCEs,chr10_2078_s,15,2271,293,14,2271,266
UCEs,chr10_2080_s,15,2278,225,14,2278,201
UCEs,chr10_2082_s,15,2287,24,14,2287,24
UCEs,chr10_2089_s,15,2202,327,14,2202,311
UCEs,chr10_2090_s,15,2310,378,14,2310,346
UCEs,chr10_2091_s,14,2348,276,13,2348,266
UCEs,chr10_2094_s,15,2228,262,14,2228,252
UCEs,chr10_2097_s,15,2488,381,14,2488,365
UCEs,chr10_2105_s,15,2603,618,14,2603,564
UCEs,chr10_2114_s,15,2491,417,14,2491,387
UCEs,chr10_2118_s,15,2360,330,14,2360,321
UCEs,chr10_2664_s,15,2463,436,14,2463,406
UCEs,chr10_2776_s,15,2563,403,14,2563,379
UCEs,chr10_3372_s,15,2320,408,14,2320,393
UCEs,chr10_362_s,13,3364,998,12,3364,888
UCEs,chr10_3749_s,14,2373,606,13,2373,550
UCEs,chr10_4312_s,15,2318,325,14,2318,300
UCEs,chr10_4368_s,15,2466,295,14,2466,286
UCEs,chr10_4405_s,14,2240,201,13,2240,198
UCEs,chr10_4411_s,14,2439,354,13,2439,321
UCEs,chr10_4414_s,15,2259,312,14,2259,290
UCEs,chr10_4435_s,15,2292,309,14,2292,276
UCEs,chr10_4510_s,15,2525,367,14,2525,349
UCEs,chr10_4575_s,15,2266,323,14,2266,287
UCEs,chr10_4597_s,14,2519,398,13,2519,362
UCEs,chr10_4660_s,15,2315,451,14,2315,397
UCEs,chr10_4694_s,14,2598,460,13,2598,417
UCEs,chr10_4736_s,15,2334,367,14,2334,327
UCEs,chr10_4790_s,15,2257,282,14,2257,267
UCEs,chr10_4809_s,15,2295,344,14,2295,310
UCEs,chr10_4885_s,15,2192,248,14,2192,234
UCEs,chr10_5033_s,14,2598,419,13,2598,374
UCEs,chr10_5634_s,14,5998,1296,13,5998,1242
UCEs,chr10_5718_s,15,2904,622,14,2904,586
UCEs,chr10_5739_s,15,2699,636,14,2699,567
UCEs,chr10_5757_s,14,3063,716,13,3063,661
UCEs,chr10_974_s,14,4404,1003,13,4404,945
UCEs,chr11_1405_s,14,3054,740,13,3054,688
UCEs,chr11_1410_s,14,2988,686,13,2988,666
UCEs,chr11_1413_s,14,5398,1141,13,5398,1087
UCEs,chr11_1454_s,14,2848,488,13,2848,434
UCEs,chr11_1455_s,14,3584,693,13,3584,647
UCEs,chr11_1483_s,15,2384,371,14,2384,334
UCEs,chr11_1488_s,15,2293,337,14,2293,318
UCEs,chr11_1490_s,14,2978,846,13,2978,779
UCEs,chr11_1527_s,14,4828,1015,13,4828,987
UCEs,chr11_1535_s,15,2236,337,14,2236,302
UCEs,chr11_1560_s,14,3592,499,13,3592,416
UCEs,chr11_1565_s,14,2813,521,13,2813,468
UCEs,chr11_1633_s,15,2621,369,14,2621,322
UCEs,chr11_1711_s,14,2343,435,13,2343,394
UCEs,chr11_1742_s,14,2318,391,13,2318,335
UCEs,chr11_1778_s,15,2211,255,14,2211,246
UCEs,chr11_1786_s,15,2345,573,14,2345,518
UCEs,chr11_1818_s,15,2418,505,14,2418,388
UCEs,chr11_1839_s,14,2845,411,13,2845,365
UCEs,chr11_1962_s,14,2417,565,13,2417,528
UCEs,chr11_1974_s,15,2296,396,14,2296,376
UCEs,chr11_1999_s,15,2241,207,14,2241,193
UCEs,chr11_2034_s,15,2694,590,14,2694,526
UCEs,chr11_2131_s,14,2525,381,13,2525,347
UCEs,chr11_2147_s,14,3903,696,13,3903,651
UCEs,chr11_2183_s,14,2724,667,13,2724,604
UCEs,chr11_2187_s,15,2230,231,14,2230,206
UCEs,chr11_2189_s,15,2487,280,14,2487,259
UCEs,chr11_2200_s,15,2211,307,14,2211,269
UCEs,chr11_2209_s,14,2702,528,13,2702,514
UCEs,chr11_2238_s,15,2190,173,14,2190,173
UCEs,chr11_2240_s,15,2250,353,14,2250,313
UCEs,chr11_2243_s,15,2298,369,14,2298,323
UCEs,chr11_2247_s,15,4192,850,14,4192,809
UCEs,chr11_2248_s,14,2376,512,13,2376,472
UCEs,chr11_2253_s,14,2374,315,13,2374,284
UCEs,chr11_2254_s,14,2694,504,13,2694,452
UCEs,chr11_2255_s,15,2476,384,14,2476,365
UCEs,chr11_2264_s,15,2581,331,14,2581,306
UCEs,chr11_2299_s,15,3025,509,14,3025,467
UCEs,chr11_2316_s,14,2332,524,13,2332,475
UCEs,chr11_2321_s,15,2376,441,14,2376,417
UCEs,chr11_2322_s,15,2454,473,14,2454,434
UCEs,chr11_2323_s,14,4473,636,13,4473,585
UCEs,chr11_2327_s,14,3718,817,13,3718,778
UCEs,chr11_2328_s,15,2384,435,14,2384,395
UCEs,chr11_2330_s,15,2335,430,14,2335,406
UCEs,chr11_2332_s,15,2441,459,14,2441,411
UCEs,chr11_2342_s,15,2473,458,14,2473,411
UCEs,chr11_2345_s,15,2556,493,14,2556,438
UCEs,chr11_2352_s,15,2467,442,14,2467,417
UCEs,chr11_2353_s,14,2615,458,13,2615,418
UCEs,chr11_2355_s,15,2960,536,14,2960,490
UCEs,chr11_2360_s,15,2972,359,14,2972,322
UCEs,chr11_2368_s,13,2709,669,12,2709,627
