TYPE,GENE,SAVG,SMED,SSTD,SMIN,SMAX
CNEEs,mCE1000007,0.5104,0.6102,0.4481,0.0000,1.0000
CNEEs,mCE100082,0.2680,0.0000,0.4376,0.0000,1.0000
CNEEs,mCE100135,0.5770,0.7489,0.4443,0.0000,1.0000
CNEEs,mCE100204,0.5347,0.7481,0.4331,0.0000,1.0000
CNEEs,mCE100239,0.7692,0.9962,0.3996,0.0000,1.0000
CNEEs,mCE100266,0.6924,0.7549,0.2734,0.0000,1.0000
CNEEs,mCE1003345,0.5748,0.9295,0.4656,0.0000,1.0000
CNEEs,mCE100335,0.3666,0.0075,0.4302,0.0000,1.0000
CNEEs,mCE1003745,0.4740,0.5840,0.4158,0.0000,1.0000
CNEEs,mCE1003993,0.5883,0.7406,0.4461,0.0000,1.0000
CNEEs,mCE1004039,0.5862,0.7684,0.4314,0.0000,1.0000
CNEEs,mCE1004557,0.5956,0.8913,0.4342,0.0000,1.0000
CNEEs,mCE1005120,0.4940,0.4700,0.4943,0.0000,1.0000
CNEEs,mCE1005129,0.5907,0.7541,0.4136,0.0000,1.0000
CNEEs,mCE1006683,0.4084,0.0585,0.4666,0.0000,1.0000
CNEEs,mCE1006700,0.5820,0.8576,0.4554,0.0000,1.0000
CNEEs,mCE1006713,0.6027,0.7646,0.3832,0.0000,1.0000
CNEEs,mCE10071,0.7716,0.9880,0.3596,0.0000,1.0000
CNEEs,mCE1007579,0.5205,0.6409,0.4485,0.0000,1.0000
CNEEs,mCE1007652,0.5242,0.5795,0.4312,0.0000,1.0000
CNEEs,mCE1009539,0.4258,0.2819,0.4303,0.0000,1.0000
CNEEs,mCE1009661,0.4893,0.4535,0.3566,0.0000,0.9850
CNEEs,mCE1009758,0.4590,0.2984,0.4579,0.0000,1.0000
CNEEs,mCE1009764,0.5369,0.5630,0.3910,0.0000,1.0000
CNEEs,mCE1009798,0.5941,0.7361,0.4304,0.0000,1.0000
CNEEs,mCE1009810,0.5808,0.7541,0.4260,0.0000,1.0000
CNEEs,mCE1009815,0.4841,0.4370,0.4216,0.0000,1.0000
CNEEs,mCE1009828,0.4327,0.2286,0.4482,0.0000,1.0000
CNEEs,mCE1009888,0.4633,0.2916,0.4626,0.0000,1.0000
CNEEs,mCE1010674,0.5840,0.8786,0.4493,0.0000,1.0000
CNEEs,mCE1011167,0.6013,0.8741,0.4290,0.0000,1.0000
CNEEs,mCE1011408,0.4838,0.5000,0.4335,0.0000,1.0000
CNEEs,mCE1011416,0.5276,0.7166,0.4602,0.0000,1.0000
CNEEs,mCE1011427,0.6123,0.8928,0.4480,0.0000,1.0000
CNEEs,mCE1011994,0.4671,0.3958,0.4660,0.0000,1.0000
CNEEs,mCE1012029,0.6183,0.6807,0.3650,0.0000,1.0000
CNEEs,mCE1012043,0.4284,0.3561,0.4326,0.0000,0.9430
CNEEs,mCE1012051,0.4921,0.4850,0.4515,0.0000,1.0000
CNEEs,mCE1012055,0.7066,0.8756,0.3756,0.0000,1.0000
CNEEs,mCE1012173,0.6812,0.7894,0.3170,0.0000,1.0000
CNEEs,mCE1012177,0.5042,0.6657,0.4400,0.0000,1.0000
CNEEs,mCE1012218,0.5147,0.5937,0.4753,0.0000,1.0000
CNEEs,mCE1012223,0.5996,0.6267,0.4011,0.0000,1.0000
CNEEs,mCE1012226,0.5886,0.7968,0.4415,0.0000,1.0000
CNEEs,mCE1012250,0.3432,0.0914,0.3824,0.0000,0.9955
CNEEs,mCE1012263,0.5707,0.5787,0.3568,0.0000,1.0000
CNEEs,mCE1012274,0.6001,0.7301,0.4186,0.0000,1.0000
CNEEs,mCE1012282,0.3718,0.1274,0.4308,0.0000,1.0000
CNEEs,mCE1012308,0.4746,0.6672,0.4435,0.0000,1.0000
CNEEs,mCE1012311,0.3088,0.0000,0.4200,0.0000,1.0000
CNEEs,mCE1012333,0.3261,0.0008,0.4535,0.0000,1.0000
CNEEs,mCE1012336,0.5515,0.6912,0.4455,0.0000,1.0000
CNEEs,mCE1012338,0.4624,0.3066,0.4691,0.0000,1.0000
CNEEs,mCE1012378,0.5326,0.7032,0.4708,0.0000,1.0000
CNEEs,mCE1012383,0.5174,0.6574,0.4466,0.0000,1.0000
CNEEs,mCE1012386,0.5862,0.6724,0.3750,0.0000,0.9985
