TYPE,GENE,NTAX,ALEN,NPIP,NTAX_nogallus,ALEN_nogallus,NPIP_nogallus
CNEEs,mCE1000007,15,369,19,14,369,18
CNEEs,mCE100082,14,279,7,13,279,6
CNEEs,mCE100135,15,284,27,14,284,24
CNEEs,mCE100204,15,513,22,14,513,20
CNEEs,mCE100239,15,555,44,14,555,40
CNEEs,mCE100266,15,430,20,14,430,16
CNEEs,mCE1003345,14,505,24,13,505,20
CNEEs,mCE100335,15,385,11,14,385,11
CNEEs,mCE1003745,15,276,22,14,276,21
CNEEs,mCE1003993,15,334,56,14,334,51
CNEEs,mCE1004039,15,298,33,14,298,31
CNEEs,mCE1004557,15,383,40,14,383,34
CNEEs,mCE1005120,15,406,17,14,406,15
CNEEs,mCE1005129,15,547,21,14,547,19
CNEEs,mCE1006683,15,309,10,14,309,9
CNEEs,mCE1006700,15,257,18,14,257,17
CNEEs,mCE1006713,15,398,20,14,398,17
CNEEs,mCE10071,15,374,52,14,374,48
CNEEs,mCE1007579,15,336,29,14,336,27
CNEEs,mCE1007652,15,307,19,14,307,18
CNEEs,mCE1009539,15,347,19,14,347,16
CNEEs,mCE1009661,15,306,13,14,306,12
CNEEs,mCE1009758,15,298,11,14,298,11
CNEEs,mCE1009764,15,275,14,14,275,12
CNEEs,mCE1009798,15,275,26,14,275,26
CNEEs,mCE1009810,15,316,29,14,316,27
CNEEs,mCE1009815,15,411,33,14,411,29
CNEEs,mCE1009828,14,368,23,13,368,23
CNEEs,mCE1009888,15,258,15,14,258,14
CNEEs,mCE1010674,15,260,12,14,260,12
CNEEs,mCE1011167,15,303,52,14,303,49
CNEEs,mCE1011408,15,373,19,14,373,18
CNEEs,mCE1011416,15,375,15,14,375,13
CNEEs,mCE1011427,15,341,20,14,341,19
CNEEs,mCE1011994,15,326,19,14,326,17
CNEEs,mCE1012029,15,501,29,14,501,27
CNEEs,mCE1012043,15,287,6,14,287,5
CNEEs,mCE1012051,15,355,13,14,355,11
CNEEs,mCE1012055,14,549,61,13,549,53
CNEEs,mCE1012173,15,372,30,14,372,27
CNEEs,mCE1012177,15,326,16,14,326,15
CNEEs,mCE1012218,15,266,22,14,266,22
CNEEs,mCE1012223,14,740,16,13,740,15
CNEEs,mCE1012226,15,534,26,14,534,23
CNEEs,mCE1012250,15,416,9,14,416,7
CNEEs,mCE1012263,15,561,31,14,561,27
CNEEs,mCE1012274,15,426,25,14,426,24
CNEEs,mCE1012282,15,283,15,14,283,14
CNEEs,mCE1012308,14,402,10,13,402,9
CNEEs,mCE1012311,15,330,7,14,330,6
CNEEs,mCE1012333,15,577,10,14,577,9
CNEEs,mCE1012336,15,370,21,14,370,18
CNEEs,mCE1012338,15,635,15,14,635,15
CNEEs,mCE1012378,15,477,25,14,477,23
CNEEs,mCE1012383,15,566,22,14,566,21
CNEEs,mCE1012386,15,629,15,14,629,15
CNEEs,mCE1012395,15,396,15,14,396,14
CNEEs,mCE1012421,15,313,15,14,313,13
CNEEs,mCE1012444,15,459,15,14,459,15
CNEEs,mCE1012454,15,331,14,14,331,14
CNEEs,mCE1012460,14,399,24,13,399,22
CNEEs,mCE1012486,15,368,13,14,368,11
CNEEs,mCE1012491,15,285,7,14,285,6
CNEEs,mCE1012505,15,267,9,14,267,8
CNEEs,mCE1012519,15,487,16,14,487,16
CNEEs,mCE1012543,15,436,19,14,436,15
CNEEs,mCE1012548,15,342,12,14,342,11
CNEEs,mCE1012602,15,353,11,14,353,9
CNEEs,mCE1012608,15,316,14,14,316,12
CNEEs,mCE1012625,15,298,12,14,298,11
CNEEs,mCE1012639,15,424,21,14,424,20
CNEEs,mCE1012651,15,361,16,14,361,14
CNEEs,mCE1012653,15,362,12,14,362,11
CNEEs,mCE1012672,15,323,10,14,323,9
CNEEs,mCE1012689,15,258,11,14,258,11
CNEEs,mCE1012710,15,338,14,14,338,13
CNEEs,mCE1012810,15,280,5,14,280,5
CNEEs,mCE1012821,14,312,17,13,312,16
CNEEs,mCE1012824,15,302,12,14,302,11
CNEEs,mCE1012842,15,458,37,14,458,35
CNEEs,mCE1012871,15,303,39,14,303,29
CNEEs,mCE1013559,15,992,8,14,992,8
CNEEs,mCE1013563,15,393,30,14,393,25
CNEEs,mCE1013573,15,824,16,14,824,16
CNEEs,mCE1013588,15,301,18,14,301,17
CNEEs,mCE1013599,14,298,13,13,298,11
CNEEs,mCE1013607,14,415,11,13,415,9
CNEEs,mCE1013642,15,766,39,14,766,38
CNEEs,mCE1013674,15,283,25,14,283,22
CNEEs,mCE1014242,15,270,7,14,270,7
CNEEs,mCE1014244,15,263,36,14,263,34
CNEEs,mCE1014250,15,279,25,14,279,21
CNEEs,mCE1014251,15,411,21,14,411,21
CNEEs,mCE1014271,15,256,5,14,256,5
CNEEs,mCE1014273,15,365,17,14,365,12
CNEEs,mCE1014304,14,1088,29,13,1088,27
CNEEs,mCE1014309,15,401,19,14,401,16
CNEEs,mCE1014325,15,342,16,14,342,14
CNEEs,mCE1014341,15,352,25,14,352,20
CNEEs,mCE1014350,15,450,22,14,450,18
