TYPE,GENE,SAVG,SMED,SSTD,SMIN,SMAX
UCEs,chr10_1344_s,0.9478,1.0000,0.0915,0.7062,1.0000
UCEs,chr10_1369_s,0.9419,1.0000,0.1130,0.6312,1.0000
UCEs,chr10_1391_s,0.8869,1.0000,0.2153,0.2954,1.0000
UCEs,chr10_1394_s,0.7634,0.9992,0.3691,0.0480,1.0000
UCEs,chr10_1407_s,0.9407,1.0000,0.1846,0.3568,1.0000
UCEs,chr10_1422_s,0.8315,0.9902,0.2547,0.2519,1.0000
UCEs,chr10_1432_s,0.8321,0.9888,0.3144,0.0015,1.0000
UCEs,chr10_1434_s,0.7988,1.0000,0.3140,0.1469,1.0000
UCEs,chr10_1441_s,0.7495,0.9610,0.3250,0.0015,1.0000
UCEs,chr10_1444_s,0.8563,1.0000,0.2510,0.1454,1.0000
UCEs,chr10_1445_s,0.9026,1.0000,0.2602,0.0870,1.0000
UCEs,chr10_1461_s,0.9476,1.0000,0.1242,0.5517,1.0000
UCEs,chr10_1476_s,0.8498,0.9970,0.2483,0.2399,1.0000
UCEs,chr10_1479_s,0.8626,1.0000,0.2602,0.1379,1.0000
UCEs,chr10_1483_s,0.9734,1.0000,0.0489,0.8591,1.0000
UCEs,chr10_1490_s,0.8237,1.0000,0.2696,0.2774,1.0000
UCEs,chr10_1505_s,0.8104,1.0000,0.3152,0.1154,1.0000
UCEs,chr10_1536_s,0.9254,1.0000,0.2101,0.2654,1.0000
UCEs,chr10_1537_s,0.9393,0.9992,0.1306,0.6357,1.0000
UCEs,chr10_1539_s,0.8086,1.0000,0.2836,0.0675,1.0000
UCEs,chr10_1550_s,0.7705,0.9992,0.3397,0.0060,1.0000
UCEs,chr10_1553_s,0.8780,0.9820,0.1981,0.4498,1.0000
UCEs,chr10_1567_s,0.8702,1.0000,0.2795,0.1349,1.0000
UCEs,chr10_1570_s,0.8646,1.0000,0.2907,0.1244,1.0000
UCEs,chr10_1580_s,0.6996,0.9888,0.3646,0.0690,1.0000
UCEs,chr10_1594_s,0.8028,1.0000,0.3181,0.1544,1.0000
