TYPE,GENE,SAVG,SMED,SSTD,SMIN,SMAX
introns,cds10010_intron1,0.8174,1.0000,0.3014,0.2024,1.0000
introns,cds10016_intron3,0.9155,1.0000,0.1479,0.5697,1.0000
introns,cds10019_intron3,0.7498,1.0000,0.4019,0.0480,1.0000
introns,cds10020_intron5,0.8668,0.9978,0.1992,0.3883,1.0000
introns,cds10030_intron2,0.8944,1.0000,0.2551,0.1004,1.0000
introns,cds10031_intron2,0.8727,1.0000,0.2693,0.0420,1.0000
introns,cds10034_intron3,0.4956,0.2968,0.4358,0.0000,1.0000
introns,cds1003_intron1,0.7474,0.9978,0.3438,0.0285,1.0000
introns,cds10047_intron3,0.9270,1.0000,0.1446,0.5157,1.0000
introns,cds1005_intron1,0.9593,1.0000,0.0887,0.6956,1.0000
introns,cds10071_intron5,0.7510,0.9925,0.3562,0.1214,1.0000
introns,cds10087_intron3,0.9545,1.0000,0.0794,0.7616,1.0000
introns,cds10090_intron1,0.9394,1.0000,0.1535,0.4603,1.0000
introns,cds10093_intron7,0.8996,1.0000,0.2855,0.0000,1.0000
introns,cds10097_intron3,0.9914,1.0000,0.0262,0.9086,1.0000
introns,cds10105_intron2,0.8510,1.0000,0.2997,0.0914,1.0000
introns,cds10108_intron1,0.8920,1.0000,0.2324,0.3028,1.0000
introns,cds10111_intron21,0.8934,1.0000,0.2404,0.2204,1.0000
introns,cds10112_intron5,0.6875,0.9220,0.3897,0.0135,1.0000
introns,cds10115_intron1,0.9094,1.0000,0.2031,0.2714,1.0000
introns,cds10117_intron2,0.8603,1.0000,0.2964,0.1409,1.0000
introns,cds10123_intron6,0.9180,1.0000,0.1831,0.4363,1.0000
introns,cds10128_intron2,0.6558,0.9948,0.4152,0.0000,1.0000
introns,cds10132_intron6,0.9060,1.0000,0.1986,0.4243,1.0000
introns,cds10139_intron1,0.9947,1.0000,0.0101,0.9685,1.0000
introns,cds10140_intron6,0.8420,0.9940,0.2574,0.3268,1.0000
introns,cds10142_intron3,0.9419,1.0000,0.1431,0.5098,1.0000
introns,cds1014_intron1,0.8336,1.0000,0.3051,0.0525,1.0000
introns,cds10153_intron3,0.9290,1.0000,0.1913,0.3328,1.0000
introns,cds10155_intron1,0.9709,1.0000,0.0921,0.6657,1.0000
introns,cds10156_intron8,0.9061,1.0000,0.1848,0.3763,1.0000
introns,cds10166_intron1,0.9655,1.0000,0.1126,0.5922,1.0000
introns,cds1016_intron1,0.7472,1.0000,0.3700,0.0015,1.0000
introns,cds10176_intron1,0.7899,1.0000,0.3320,0.1589,1.0000
introns,cds10184_intron2,0.8270,0.9918,0.2871,0.1784,1.0000
introns,cds10185_intron2,0.8857,1.0000,0.2388,0.3074,1.0000
introns,cds10201_intron2,0.9658,1.0000,0.1007,0.6477,1.0000
introns,cds10204_intron5,0.7498,0.9430,0.3286,0.0000,1.0000
introns,cds1020_intron13,0.8262,0.9992,0.2666,0.2309,1.0000
introns,cds10215_intron2,0.7920,1.0000,0.3576,0.0000,1.0000
introns,cds10218_intron4,0.6618,0.9273,0.3958,0.0000,1.0000
introns,cds10225_intron3,0.7921,0.9985,0.3108,0.0375,1.0000
introns,cds10228_intron13,0.9781,1.0000,0.0443,0.8756,1.0000
introns,cds10231_intron2,0.8731,1.0000,0.2051,0.4453,1.0000
introns,cds10239_intron9,0.8819,1.0000,0.2296,0.2279,1.0000
introns,cds1023_intron1,0.7705,1.0000,0.3545,0.0075,1.0000
introns,cds1024_intron2,0.9278,1.0000,0.1200,0.6507,1.0000
introns,cds10255_intron12,0.7424,1.0000,0.3489,0.0555,1.0000
introns,cds10257_intron1,0.9866,1.0000,0.0377,0.8636,1.0000
introns,cds10261_intron2,0.9408,1.0000,0.1773,0.3808,1.0000
introns,cds10262_intron8,0.8277,1.0000,0.3126,0.0000,1.0000
introns,cds10267_intron1,0.9513,1.0000,0.1103,0.6462,1.0000
introns,cds10270_intron2,0.8483,1.0000,0.3214,0.0555,1.0000
introns,cds10271_intron1,0.9112,1.0000,0.1838,0.3958,1.0000
introns,cds10274_intron10,0.7751,1.0000,0.3759,0.0120,1.0000
introns,cds10281_intron2,0.9967,1.0000,0.0086,0.9700,1.0000
introns,cds10284_intron1,0.9846,1.0000,0.0446,0.8381,1.0000
introns,cds10287_intron2,0.9990,1.0000,0.0022,0.9925,1.0000
introns,cds10298_intron2,0.9100,1.0000,0.2249,0.1814,1.0000
introns,cds1029_intron3,0.8790,1.0000,0.2582,0.2699,1.0000
introns,cds10302_intron1,0.8290,1.0000,0.2568,0.2519,1.0000
introns,cds10303_intron1,0.9314,1.0000,0.2158,0.2489,1.0000
introns,cds10316_intron5,0.9759,1.0000,0.0484,0.8411,1.0000
introns,cds10320_intron2,0.5851,0.9835,0.4517,0.0000,1.0000
introns,cds10326_intron2,0.8743,1.0000,0.2673,0.0780,1.0000
introns,cds10328_intron3,0.8172,1.0000,0.3502,0.0120,1.0000
introns,cds10330_intron2,0.8372,0.9910,0.2386,0.2968,1.0000
introns,cds10331_intron3,0.6894,0.9880,0.4027,0.0000,1.0000
introns,cds10332_intron4,0.8461,1.0000,0.2980,0.0510,1.0000
introns,cds10345_intron1,0.7946,1.0000,0.3132,0.1080,1.0000
introns,cds10356_intron1,0.9541,1.0000,0.1056,0.6522,1.0000
introns,cds10360_intron1,0.7196,0.8666,0.3490,0.0465,1.0000
introns,cds10366_intron2,0.9993,1.0000,0.0022,0.9925,1.0000
introns,cds10367_intron3,0.9148,1.0000,0.1470,0.5157,1.0000
introns,cds10391_intron3,0.8817,1.0000,0.2458,0.2894,1.0000
introns,cds10399_intron6,0.7917,1.0000,0.3176,0.0870,1.0000
introns,cds10404_intron22,0.7945,1.0000,0.2905,0.2399,1.0000
introns,cds10412_intron7,0.9381,1.0000,0.1424,0.5082,1.0000
introns,cds10414_intron3,0.8310,1.0000,0.2831,0.1124,1.0000
introns,cds10417_intron3,0.7477,0.9640,0.3787,0.0015,1.0000
introns,cds10425_intron3,0.9985,1.0000,0.0043,0.9850,1.0000
introns,cds10434_intron2,0.9052,0.9918,0.1834,0.3373,1.0000
introns,cds10440_intron4,0.7690,0.9992,0.3500,0.0000,1.0000
introns,cds10442_intron1,0.8179,0.9955,0.2423,0.3418,1.0000
introns,cds10468_intron2,0.8864,1.0000,0.2762,0.0360,1.0000
introns,cds10475_intron3,0.8209,1.0000,0.3106,0.1559,1.0000
introns,cds10477_intron4,0.8118,0.9978,0.2853,0.1020,1.0000
introns,cds1047_intron1,0.9248,1.0000,0.1611,0.4648,1.0000
introns,cds10483_intron2,0.9338,1.0000,0.1424,0.5052,1.0000
introns,cds10488_intron8,0.9298,1.0000,0.2220,0.2279,1.0000
introns,cds1049_intron4,0.8723,1.0000,0.2382,0.3358,1.0000
introns,cds1050_intron2,0.7985,1.0000,0.3332,0.0090,1.0000
introns,cds10519_intron6,0.8412,0.9678,0.2750,0.0000,1.0000
introns,cds1051_intron11,0.8280,1.0000,0.3089,0.0645,1.0000
introns,cds10521_intron1,0.7270,0.9955,0.3681,0.0000,1.0000
introns,cds1052_intron10,0.9003,1.0000,0.2291,0.2729,1.0000
introns,cds10530_intron4,0.9437,1.0000,0.1343,0.5232,1.0000
introns,cds10544_intron1,0.7353,0.9850,0.4046,0.0060,1.0000
introns,cds10554_intron1,0.9344,1.0000,0.1471,0.5172,1.0000
introns,cds1055_intron2,0.9254,1.0000,0.2012,0.2984,1.0000
introns,cds10561_intron1,0.8664,1.0000,0.2696,0.1304,1.0000
introns,cds10570_intron1,0.9997,1.0000,0.0009,0.9970,1.0000
introns,cds10575_intron1,0.9257,1.0000,0.2278,0.2054,1.0000
introns,cds10579_intron5,0.9459,1.0000,0.1284,0.5697,1.0000
introns,cds10590_intron1,0.9433,1.0000,0.1669,0.4168,1.0000
introns,cds10592_intron8,0.8895,1.0000,0.1821,0.5382,1.0000
introns,cds10596_intron2,0.7566,0.9768,0.3474,0.0000,1.0000
introns,cds10607_intron3,0.8876,1.0000,0.1884,0.4798,1.0000
introns,cds10609_intron5,0.9522,1.0000,0.1099,0.6417,1.0000
introns,cds10610_intron2,0.9006,1.0000,0.1490,0.6237,1.0000
introns,cds10618_intron3,0.8228,1.0000,0.3155,0.1619,1.0000
introns,cds10619_intron2,0.8434,1.0000,0.2884,0.0015,1.0000
